TeamName,Season,TeamID,FirstD1Season,LastD1Season,Seed,rank,team,conference,record,adj_em,adj_o,adj_o_rank,adj_d,adj_d_rank,adj_tempo,adj_tempo_rank,luck,luck_rank,sos_adj_em,sos_adj_em_rank,sos_adj_o,sos_adj_o_rank,sos_adj_d,sos_adj_d_rank,nc_sos_adj_em,nc_sos_adj_em_rank,ncaa_seed
Duke,2002,1181,1985,2021,Y01,1,Duke,ACC,31-4,34.19,121,1,86.8,1,74.5,8,-0.027,223,9.87,18,109.1,13,99.2,31,6.66,34,1
Cincinnati,2002,1153,1985,2021,Z01,2,Cincinnati,CUSA,31-4,30.19,118.1,7,87.9,3,67.4,194,0.002,165,6.58,57,106.3,66,99.7,42,3.48,80,1
Maryland,2002,1268,1985,2021,W01,3,Maryland,ACC,32-4,29.25,119.2,4,89.9,7,73.7,15,0.025,104,9.88,16,109.1,11,99.3,33,1.62,120,1
Kansas,2002,1242,1985,2021,X01,4,Kansas,B12,33-4,28.99,118.7,5,89.7,6,77.3,3,0.022,109,10.66,10,110.3,4,99.6,40,8.32,23,1
Oklahoma,2002,1328,1985,2021,Z02,5,Oklahoma,B12,31-5,26.04,114.9,20,88.9,4,66.5,228,0.043,69,8.77,26,109,15,100.2,62,-0.45,169,2
Indiana,2002,1231,1985,2021,Y05,6,Indiana,B10,25-12,24.8,114,26,89.2,5,65.6,255,-0.049,270,14.11,2,110.8,2,96.7,2,13.53,4,5
Florida,2002,1196,1985,2021,X05,7,Florida,SEC,22-9,24.72,115.1,19,90.4,8,69.6,103,-0.073,300,9.11,23,108.1,29,99,25,-0.56,173,5
Illinois,2002,1228,1985,2021,X04,8,Illinois,B10,26-9,23.21,115.7,17,92.5,16,68.5,153,0.016,123,10.6,11,109.7,9,99.1,29,6.78,32,4
Oregon,2002,1332,1985,2021,X02,9,Oregon,P10,26-9,22.97,119.2,3,96.3,40,71.1,61,-0.041,255,8.15,36,108.1,31,99.9,50,-3.3,245,2
Kentucky,2002,1246,1985,2021,W04,10,Kentucky,SEC,22-10,22.21,113.4,29,91.2,9,68,169,-0.029,230,12.97,3,110.1,6,97.1,5,6.75,33,4
Marquette,2002,1266,1985,2021,W05,11,Marquette,CUSA,26-7,21.47,113.4,30,91.9,11,64.6,281,0.006,155,5.41,72,105.5,92,100.1,60,-2.87,233,5
USC,2002,1425,1985,2021,Y04,12,USC,P10,22-10,20.67,112.8,36,92.1,14,70.1,88,-0.051,275,9.3,21,109.2,10,99.9,51,1.89,113,4
Arizona,2002,1112,1985,2021,Z03,13,Arizona,P10,24-10,20.54,119.3,2,98.8,82,71.1,59,0.079,15,14.22,1,111.3,1,97.1,3,17.56,1,3
Kent,2002,1245,1985,2021,Y10,14,Kent St.,MAC,29-6,20.39,116.7,8,96.4,42,64.7,278,0.008,150,3.11,104,106,77,102.9,141,2.99,90,10
Stanford,2002,1390,1985,2021,X08,15,Stanford,P10,20-10,20.32,116.6,10,96.3,41,69.5,106,-0.02,205,10.33,13,110.2,5,99.8,48,2.11,107,8
Pittsburgh,2002,1338,1985,2021,Y03,16,Pittsburgh,BE,29-6,19.94,112.1,39,92.2,15,63.8,293,0,172,3.12,103,103.7,150,100.6,71,-12.06,325,3
Ohio St,2002,1326,1985,2021,Z04,17,Ohio St.,B10,24-8,19.76,116.4,11,96.6,47,66.8,215,0.005,159,7.51,46,106.6,58,99.1,27,-1.26,196,4
