rank,Team,TeamID,ncaa_seed,conference,W-L,adj_em,adj_o,adj_o_rank,adj_d,adj_d_rank,adj_tempo,adj_tempo_rank,luck,luck_rank,sos_adj_em,sos_adj_em_rank,sos_adj_o,sos_adj_o_rank,sos_adj_d,sos_adj_d_rank,nc_sos_adj_em,nc_sos_adj_em_rank
131,Akron,1103,13,MAC,24-9,3.49,106.2,113,102.7,166,62.1,351,0.026,119,-5.24,280,100.8,264,106,288,-4.18,286
25,Alabama,1104,6,SEC,19-13,17.36,116.1,14,98.7,94,71.7,12,-0.022,226,12.79,1,109.7,3,96.9,7,10.22,11
2,Arizona,1112,1,P12,31-3,27.21,119.6,5,92.4,20,72.2,8,0.046,77,6.34,67,106,75,99.7,57,-0.22,170
20,Arkansas,1116,4,SEC,25-8,19.02,111.1,40,92.1,16,70.6,28,0.027,117,7.93,46,106.8,56,98.9,35,-2.79,251
10,Auburn,1120,2,SEC,27-5,24.45,113.6,24,89.1,8,70,40,-0.039,271,8.77,34,107.2,44,98.5,26,4.16,58
5,Baylor,1124,1,B12,26-6,26.32,117.9,9,91.6,14,67.2,169,0.019,138,10.71,12,107.4,39,96.7,5,-1.65,215
26,Boise St.,1129,8,MWC,27-7,16.41,108.5,76,92.1,17,64.6,307,0.027,118,6,74,105.2,91,99.2,47,0.92,140
183,Bryant,1136,16,NEC,22-9,-0.95,104.2,154,105.2,218,72.2,7,0.126,7,-8.59,352,98.1,350,106.7,311,0.05,161
149,Cal St. Fullerton,1168,15,BW,21-10,2.1,104.7,144,102.6,164,66,239,0.038,92,-2.94,219,100.5,274,103.5,176,-3.03,257
72,Chattanooga,1151,13,SC,27-7,11.27,110,58,98.8,95,64.6,302,0.024,128,0.15,142,105.1,92,104.9,245,1.73,120
119,Colgate,1159,14,Pat,23-11,4.22,108.3,79,104.1,203,67.3,163,-0.07,321,-7.96,337,99.2,322,107.2,333,1.8,117
31,Colorado St.,1161,6,MWC,25-5,15.86,114.2,20,98.3,83,65.1,280,0.13,6,5.61,80,105.3,90,99.6,55,-1.89,227
18,Connecticut,1163,5,BE,23-9,19.33,113.9,21,94.6,35,64.9,291,-0.03,248,7.53,52,106,76,98.4,23,-3.46,267
53,Creighton,1166,9,BE,22-11,13.47,105.6,124,92.1,18,66.9,190,0.09,25,8.69,35,107.7,26,99,43,-0.16,165
41,Davidson,1172,10,A10,27-6,14.8,116.8,11,102,152,64.6,304,-0.004,186,1.43,121,102.6,179,101.2,104,-1.86,226
145,Delaware,1174,15,CAA,22-12,2.28,106.8,100,104.6,212,66.6,199,0.023,130,-2.57,206,101.8,205,104.4,219,-3.61,270
12,Duke,1181,2,ACC,28-6,23.71,119.4,7,95.7,44,67.4,150,-0.011,204,6.14,71,107.4,40,101.2,106,-4.39,289
151,Georgia St.,1209,16,SB,18-10,1.84,101.5,201,99.7,114,67.1,174,0.062,56,-1.29,177,101.1,244,102.4,130,2.05,114
1,Gonzaga,1211,1,WCC,26-3,32.97,121.8,1,88.8,7,72.5,4,-0.038,268,3.78,99,104.5,111,100.8,94,-2.56,246
4,Houston,1222,5,Amer,29-5,26.5,117.3,10,90.9,11,63.8,333,-0.007,195,4.29,93,104.6,107,100.3,76,0.3,155
17,Illinois,1228,4,B10,22-9,19.59,113.7,23,94.1,30,67.1,177,0.025,126,10.23,15,109.1,5,98.9,37,1.6,123
36,Indiana,1231,12,B10,20-13,14.94,107.6,91,92.6,21,67,184,-0.044,282,8.26,40,108.5,14,100.2,72,-6.01,322
13,Iowa,1234,5,B10,26-9,23.53,121.5,2,98,77,69.6,52,-0.05,295,7.63,49,107.6,31,100,65,-6.3,325
48,Iowa St.,1235,11,B12,20-12,13.95,104.4,151,90.4,10,66.1,232,0.038,91,10.22,17,107.7,24,97.5,12,-6.64,328
146,Jacksonville St.,1240,15,ASun,21-10,2.24,105.3,132,103.1,178,65.1,276,-0.021,224,-5.15,277,100.6,270,105.8,273,0.23,157
6,Kansas,1242,1,B12,28-6,25.49,119.4,6,93.9,29,69.1,68,0.035,101,12.02,3,107.6,32,95.6,1,4.52,50
3,Kentucky,1246,2,SEC,26-7,26.59,120.2,4,93.6,27,67.3,155,-0.032,251,9.08,29,106.9,52,97.9,17,-2.76,249
144,Longwood,1255,14,BSth,26-6,2.48,106.1,115,103.6,191,66,235,0.095,21,-8.28,344,98.4,342,106.7,314,-6.92,333
24,Loyola Chicago,1260,10,MVC,25-7,17.69,110.9,42,93.2,22,64.6,308,0.016,143,3.26,105,104.6,109,101.3,109,3.65,74
19,LSU,1261,6,SEC,22-11,19.08,107.6,89,88.6,5,68.6,92,-0.041,274,9.13,28,107.7,28,98.6,29,-0.99,191
47,Marquette,1266,9,BE,19-12,14,109.8,62,95.8,46,70.7,26,0,175,9.25,25,107.4,38,98.2,20,4.2,57
28,Memphis ,1272,9,Amer,21-10,16.22,110.4,50,94.1,31,70.3,34,-0.018,217,6.75,60,106.4,64,99.6,56,4.87,42
62,Miami FL,1274,10,ACC,23-10,12.62,114.8,17,102.1,157,67.3,160,0.069,50,6.64,63,106.8,55,100.2,71,0.55,148
33,Michigan ,1276,11,B10,17-14,15.65,114.2,19,98.6,91,66.3,218,-0.026,238,11.72,6,110,1,98.2,21,6.6,27
40,Michigan St.,1277,7,B10,22-12,14.87,111.3,38,96.4,53,67.5,141,0.05,73,10.73,11,109.4,4,98.7,31,4.24,55
125,Montana St.,1286,14,BSky,27-7,3.81,104.5,147,100.7,129,67.3,157,0.031,111,-6.2,308,101.9,203,108.1,350,-0.52,180
27,Murray St.,1293,7,OVC,30-2,16.39,111.5,35,95.1,40,65.8,246,0.075,41,-3.65,235,101.2,235,104.9,243,4.48,52
81,New Mexico St.,1308,12,WAC,26-6,10.1,107.8,87,97.7,73,66.2,223,0.099,17,0.7,133,102.3,190,101.6,113,4.14,60
168,Norfolk St.,1313,16,MEAC,24-6,0.15,102.4,190,102.3,160,66.9,187,0.095,23,-10.62,357,95.3,358,105.9,280,-4.18,285
29,North Carolina,1314,8,ACC,24-9,16.04,113.1,27,97,64,70.1,38,0.079,32,7.26,54,107.8,23,100.6,85,3.76,71
52,Notre Dame,1323,11,ACC,22-10,13.63,112,29,98.4,84,65.7,250,0.016,144,6.2,70,106.6,60,100.4,78,3.12,87
32,Ohio St.,1326,7,B10,19-11,15.82,116.6,13,100.8,131,65,287,-0.015,207,9.48,22,108.4,16,98.9,38,2.47,100
49,Providence,1344,4,BE,25-5,13.88,111.9,31,98,79,65.2,273,0.194,1,7.04,56,106.1,69,99.1,44,-0.18,168
14,Purdue,1345,3,B10,27-7,22.29,121.3,3,99,100,65.8,248,0.035,100,8.98,30,108.8,9,99.8,61,-3.76,274
83,Richmond,1350,12,A10,23-12,9.82,109.1,68,99.3,104,66.9,191,0.029,114,4.41,92,105,94,100.6,87,2.84,94
74,Rutgers,1353,11,B10,18-13,10.86,106.4,107,95.5,43,64.9,289,0.016,142,8.01,44,108.5,13,100.5,81,-10.28,355
16,Saint Mary's,1388,5,WCC,25-7,19.81,109.8,63,90,9,63.5,338,0.037,95,6.9,57,107.2,45,100.3,75,3.83,68
118,Saint Peter's,1389,15,MAAC,19-11,4.28,98.8,259,94.5,34,66,242,-0.016,213,-2.78,212,101.3,234,104.1,202,3.72,73
22,San Diego St.,1361,8,MWC,23-8,18.15,104.1,157,85.9,2,65.3,268,0.013,147,6.71,61,106.2,68,99.5,52,3.17,85
21,San Francisco,1362,10,WCC,24-9,18.37,110.8,45,92.4,19,68.7,89,-0.029,247,5.62,79,105.8,78,100.2,73,2.79,95
35,Seton Hall,1371,8,BE,21-10,14.97,108.5,75,93.5,26,67.3,162,0.011,150,8.82,33,107.7,27,98.9,36,1.14,135
71,South Dakota St.,1355,13,Sum,30-4,11.44,116.8,12,105.3,220,69.4,59,0.061,58,-3.92,243,103.3,152,107.2,332,4.27,54
38,TCU,1395,9,B12,20-12,14.91,108.2,80,93.3,24,65.9,244,0.034,104,10.86,9,107.7,25,96.9,6,-4.59,294
7,Tennessee,1397,3,SEC,26-7,25.24,111.4,36,86.2,3,67.2,172,0.044,82,11.76,5,108.7,10,97,9,4.68,46
15,Texas,1400,6,B12,21-11,20.41,111.8,32,91.4,13,63.1,341,-0.044,279,9.52,21,107.1,47,97.6,13,-7.6,341
243,Texas A&M Corpus Christi,1394,16,Slnd,23-11,-6.31,97,287,103.3,181,68.9,73,0.036,98,-10.92,358,98.8,335,109.7,358,-8.72,349
188,Texas Southern,1411,16,SWAC,18-12,-1.33,98.1,270,99.4,107,67.7,128,0.006,159,-6.77,318,98.5,340,105.3,259,10.51,9
9,Texas Tech,1403,3,B12,25-9,24.64,109.7,65,85.1,1,66.5,211,-0.025,233,10.21,18,107.5,37,97.2,11,-7.93,345
46,UAB,1412,12,CUSA,27-7,14.03,112.5,28,98.5,89,68.8,81,-0.04,272,-1.15,175,101.9,201,103.1,154,-2.16,234
8,UCLA,1417,4,P12,25-7,24.85,116.1,15,91.2,12,65.5,258,-0.028,243,8.5,37,107.5,36,99,40,4.49,51
42,USC,1425,7,P12,26-7,14.45,110.5,47,96,49,66,237,0.077,34,5.23,84,104.9,97,99.7,58,-4.31,288
59,Vermont,1436,13,AE,28-5,13.07,110.8,44,97.7,74,65,288,-0.015,209,-7.51,330,99.1,328,106.6,305,2.2,107
11,Villanova,1437,2,BE,26-7,24.11,118,8,93.8,28,62.6,345,0.051,71,10.76,10,108.6,11,97.8,15,8.74,17
23,Virginia Tech,1439,11,ACC,23-12,17.86,114.3,18,96.4,55,62.9,344,-0.054,302,6.47,65,107,49,100.5,84,-0.7,184
34,Wisconsin,1458,3,B10,24-7,15.58,110.4,49,94.8,38,66.5,208,0.119,9,10.05,19,109,7,98.9,39,2.74,97
182,Wright St.,1460,16,Horz,21-13,-0.87,106.4,108,107.2,262,68.4,97,-0.001,178,-7.41,329,100,301,107.4,338,-0.04,163
58,Wyoming,1461,12,MWC,25-8,13.1,110.2,54,97.1,66,66,238,0.067,53,4.75,89,105.3,88,100.5,82,-0.49,178
147,Yale,1463,14,Ivy,19-11,2.23,101.5,203,99.2,103,68.7,86,0.061,57,-2.1,197,102.9,165,105,249,0.65,144
